epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,293.632,1.73362,2.82503,1.86217,0.5761,0.58579,0.58851,0.32298,1.54782,1.38566,1.65667,0.00999012,0.00333004,0.00999012,0.00333004,0.0766897,0.0700296,0.00999012,0.00333004
2,515.361,1.64499,2.05908,1.75369,0.60988,0.62538,0.60733,0.33991,1.42209,1.54581,1.56606,0.0198912,0.00663039,0.0198912,0.00663039,0.0532574,0.0399967,0.0198912,0.00663039
3,728.722,1.68553,2.09211,1.80332,0.61669,0.57968,0.60839,0.34196,1.41482,1.43711,1.61733,0.0296932,0.00989774,0.0296932,0.00989774,0.0297262,0.00993068,0.0296932,0.00989774
4,940.385,1.68913,2.05634,1.81187,0.61826,0.69788,0.69586,0.39759,1.41084,1.217,1.55011,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1151.63,1.62312,1.90979,1.74769,0.59895,0.62185,0.6551,0.39286,1.32338,1.2893,1.50506,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1363.15,1.57117,1.78839,1.69804,0.67965,0.68444,0.70448,0.3985,1.4484,1.12133,1.59508,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1574.66,1.53379,1.70618,1.67064,0.69409,0.72621,0.73855,0.44505,1.33573,1.0231,1.5074,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1786.26,1.50597,1.64545,1.63176,0.74861,0.7555,0.7824,0.47847,1.28877,0.93183,1.46321,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1997.44,1.4779,1.57861,1.60948,0.65898,0.7698,0.75386,0.45288,1.29002,0.99786,1.45385,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2209.01,1.45593,1.54234,1.59108,0.7072,0.68793,0.73496,0.45536,1.30256,1.02889,1.4653,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2420.24,1.43534,1.4959,1.56672,0.7231,0.74636,0.79281,0.47605,1.29968,0.93318,1.45949,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2631.99,1.4195,1.46086,1.55642,0.79342,0.75114,0.81979,0.50043,1.24702,0.87968,1.41551,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2843.21,1.4086,1.44534,1.54397,0.73681,0.80004,0.80747,0.50864,1.24227,0.84586,1.41064,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3054.78,1.38489,1.40796,1.52838,0.75499,0.79189,0.81981,0.51939,1.24036,0.83031,1.41532,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3266.06,1.3777,1.37395,1.51672,0.79738,0.79568,0.83254,0.52482,1.2409,0.79841,1.39974,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3477.73,1.35608,1.34799,1.50083,0.80159,0.78791,0.82297,0.52374,1.22716,0.79522,1.4,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3688.96,1.35536,1.32914,1.49101,0.81777,0.78985,0.84477,0.54252,1.20815,0.76853,1.36296,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,3900.58,1.34175,1.31198,1.48604,0.81,0.79014,0.84195,0.54419,1.21981,0.78718,1.39087,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4111.97,1.33514,1.29497,1.48062,0.80734,0.7864,0.84748,0.54063,1.20762,0.7638,1.37956,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4323.51,1.32218,1.26874,1.46634,0.81831,0.80163,0.84641,0.54349,1.2021,0.74542,1.37251,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,4534.62,1.3115,1.25608,1.45983,0.81094,0.78603,0.84462,0.53713,1.19477,0.75531,1.3599,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,4746.25,1.30037,1.23787,1.4486,0.75528,0.77348,0.82587,0.52607,1.23997,0.82794,1.39173,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,4957.62,1.29731,1.22408,1.44398,0.80239,0.80694,0.86229,0.55228,1.21837,0.72767,1.37085,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5169.1,1.28283,1.203,1.43405,0.80287,0.82881,0.86609,0.55851,1.20824,0.73702,1.36359,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,5379.4,1.27912,1.18178,1.43201,0.82994,0.81039,0.86028,0.55663,1.20099,0.71539,1.36293,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,5589.44,1.27228,1.17595,1.42143,0.84235,0.81009,0.86458,0.56163,1.18367,0.69734,1.35205,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,5802.98,1.25892,1.15696,1.41812,0.82735,0.83107,0.86629,0.56647,1.18478,0.69706,1.3503,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,6019.06,1.2569,1.15223,1.40703,0.84041,0.81277,0.87333,0.56303,1.20323,0.69675,1.3545,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6234.82,1.24584,1.12577,1.39926,0.83007,0.83628,0.87389,0.5715,1.18529,0.6882,1.3483,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,6451.07,1.24255,1.11793,1.39997,0.79994,0.85049,0.86457,0.563,1.18193,0.6947,1.35356,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,6666.89,1.23465,1.10914,1.38853,0.85132,0.83239,0.88297,0.57738,1.18332,0.67927,1.35304,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,6883.06,1.2266,1.10237,1.38652,0.83101,0.82833,0.87765,0.57599,1.16381,0.67311,1.32882,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,7098.85,1.22415,1.09199,1.38269,0.84956,0.83182,0.87829,0.5746,1.18736,0.66268,1.35794,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,7315.05,1.21697,1.08703,1.37633,0.81418,0.85638,0.87372,0.56849,1.1857,0.6753,1.33751,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7531.03,1.21256,1.07059,1.36718,0.86533,0.81324,0.87644,0.57062,1.17815,0.66905,1.32454,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
