epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,308.789,1.67863,4.00017,0.02105,0.49981,0.59708,0.54229,0.31277,1.43577,1.29318,0.01718,0.00999102,0.00333034,0.00999102,0.00333034,0.0766876,0.070027,0.00999102,0.00333034
2,584.965,1.62308,2.26666,0.0205,0.64085,0.59585,0.65419,0.3943,1.41114,1.12041,0.01736,0.0198921,0.00663069,0.0198921,0.00663069,0.0532553,0.039994,0.0198921,0.00663069
3,854.819,1.66172,2.13102,0.02082,0.64954,0.63274,0.67743,0.38951,1.44308,1.10883,0.01773,0.0296941,0.00989803,0.0296941,0.00989803,0.0297241,0.00992798,0.0296941,0.00989803
4,1123.35,1.71742,2.10356,0.02186,0.68366,0.64308,0.6851,0.38984,1.48521,1.11581,0.01806,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1391.58,1.67399,1.98995,0.02095,0.74125,0.66613,0.74889,0.44121,1.37021,0.93622,0.01674,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1659.08,1.64972,1.91265,0.0206,0.6286,0.6823,0.67834,0.40758,1.3984,0.99393,0.01716,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1926.29,1.61729,1.84152,0.02015,0.66583,0.69897,0.73843,0.44904,1.37991,0.93649,0.01652,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2193.22,1.60153,1.76654,0.01982,0.70916,0.72508,0.76407,0.45954,1.37007,0.85759,0.01657,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2460.43,1.59197,1.72823,0.01945,0.75966,0.73899,0.80486,0.50063,1.30347,0.78995,0.0154,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2727.58,1.56203,1.66597,0.01904,0.75801,0.62879,0.73536,0.44808,1.36191,0.97432,0.01648,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2994.48,1.54142,1.62132,0.01866,0.79631,0.76484,0.83666,0.5045,1.33367,0.74322,0.0159,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3261.59,1.53625,1.60202,0.01858,0.74863,0.75871,0.82248,0.49864,1.29698,0.77725,0.01553,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3529.44,1.51706,1.56839,0.01827,0.80487,0.75749,0.82995,0.50504,1.32263,0.74018,0.01581,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3797.1,1.49778,1.54243,0.01788,0.79255,0.74207,0.82945,0.51907,1.29162,0.71805,0.01539,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4065.16,1.50242,1.49555,0.01807,0.80543,0.79564,0.84667,0.53404,1.28298,0.67844,0.01518,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4333.02,1.48373,1.49742,0.01771,0.77372,0.7366,0.8017,0.49658,1.31123,0.75468,0.0155,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4600.79,1.46418,1.47574,0.01739,0.79731,0.78688,0.85598,0.53014,1.27959,0.67867,0.01511,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4869.15,1.45465,1.43961,0.01724,0.85432,0.72679,0.84796,0.52457,1.27572,0.70829,0.01501,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,5137.25,1.4453,1.41261,0.017,0.82107,0.771,0.85869,0.54429,1.26718,0.67028,0.01475,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,5405.3,1.44441,1.39872,0.017,0.81048,0.77971,0.84991,0.52755,1.26435,0.67063,0.01472,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5673.34,1.4317,1.38891,0.01675,0.83625,0.7924,0.86415,0.5515,1.25325,0.64634,0.01473,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,5941.53,1.4247,1.34822,0.01656,0.81462,0.82749,0.87176,0.5553,1.25096,0.61701,0.01448,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,6209.5,1.42207,1.3327,0.01665,0.81925,0.79721,0.86614,0.54064,1.25276,0.64408,0.01467,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,6477.04,1.41215,1.30551,0.01653,0.77965,0.78913,0.84747,0.53453,1.27307,0.68576,0.01478,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,6744.07,1.40452,1.30648,0.01644,0.82895,0.79539,0.85755,0.5457,1.24253,0.64154,0.0144,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,7011.03,1.38818,1.28798,0.01618,0.82972,0.8139,0.88124,0.55613,1.25847,0.62455,0.01468,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,7278.73,1.3763,1.27748,0.01603,0.85016,0.80662,0.88206,0.56474,1.21797,0.62614,0.01406,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,7545.96,1.37943,1.24249,0.01592,0.84504,0.80721,0.87872,0.56283,1.24268,0.60432,0.01442,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,7812.65,1.37152,1.22039,0.01591,0.82788,0.81149,0.87418,0.55873,1.23977,0.63597,0.01434,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,8080,1.36033,1.20885,0.01581,0.8244,0.82644,0.88915,0.56755,1.24259,0.60399,0.01453,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,8350.91,1.36096,1.20426,0.01571,0.82575,0.82183,0.88695,0.57755,1.21403,0.5977,0.01406,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,8623.71,1.35253,1.18837,0.01551,0.82825,0.83235,0.89876,0.57865,1.22627,0.57778,0.01416,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8896.76,1.34565,1.17134,0.01545,0.83122,0.83513,0.89339,0.5815,1.23589,0.58992,0.01437,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,9169.82,1.34227,1.16816,0.01539,0.86064,0.80838,0.89382,0.56892,1.21765,0.59168,0.01399,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,9442.64,1.33148,1.14124,0.01519,0.86666,0.80898,0.89994,0.58074,1.21431,0.59213,0.01395,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,9715.71,1.33416,1.13659,0.01523,0.85845,0.83909,0.89038,0.57865,1.21627,0.57169,0.014,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,9988.7,1.31607,1.117,0.01501,0.84943,0.83585,0.89918,0.58534,1.22054,0.56957,0.01412,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,10261.6,1.3139,1.10746,0.015,0.84811,0.84349,0.90198,0.58749,1.20529,0.58118,0.01371,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,10534.7,1.31405,1.10676,0.01497,0.85072,0.84764,0.90042,0.5844,1.20385,0.56737,0.01365,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,10807.8,1.30857,1.08621,0.01487,0.87018,0.82689,0.90452,0.59055,1.20401,0.57088,0.01378,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,11080.7,1.30139,1.08825,0.01491,0.85297,0.83985,0.89563,0.58523,1.20326,0.57753,0.01373,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,11353.9,1.29038,1.0831,0.01477,0.89241,0.82763,0.90836,0.59523,1.20008,0.54846,0.01366,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,11626.8,1.29635,1.05107,0.01472,0.86076,0.84824,0.90432,0.5892,1.20789,0.56004,0.01379,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,11899.5,1.29199,1.05659,0.01466,0.88315,0.81346,0.88895,0.57835,1.21092,0.57621,0.01385,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,12172.4,1.29111,1.05878,0.01466,0.86099,0.84257,0.90304,0.58734,1.20379,0.57339,0.01381,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,12445.5,1.27931,1.04654,0.01445,0.86383,0.84153,0.90626,0.59276,1.19747,0.59341,0.01371,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,12718.2,1.26945,1.03048,0.01449,0.84783,0.8466,0.90303,0.5939,1.18989,0.60436,0.01354,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,12991.3,1.26615,1.02207,0.0144,0.86344,0.84602,0.89982,0.59283,1.19471,0.56946,0.01372,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,13264.3,1.25746,1.002,0.01417,0.88021,0.84195,0.90369,0.59855,1.18697,0.56739,0.01347,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,13537,1.25707,0.99097,0.01404,0.88334,0.84358,0.91002,0.59938,1.19651,0.56382,0.0136,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,13810,1.25492,0.99007,0.01424,0.87319,0.85657,0.90338,0.59628,1.18321,0.58846,0.0134,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14083.1,1.24806,0.9729,0.01404,0.8902,0.83571,0.90352,0.59927,1.18672,0.58306,0.01345,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,14355.8,1.25004,0.97924,0.01405,0.84912,0.86453,0.9044,0.59893,1.1895,0.58224,0.01345,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,14628.9,1.24272,0.95882,0.0139,0.87051,0.84958,0.90866,0.59774,1.18612,0.59064,0.01346,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,14901.8,1.23489,0.9534,0.01388,0.87773,0.84446,0.90957,0.59607,1.18434,0.59743,0.01346,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,15174.8,1.23388,0.94951,0.01398,0.87347,0.83674,0.90434,0.59253,1.18407,0.59012,0.01339,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,15447.6,1.23553,0.93059,0.01393,0.87952,0.84207,0.90821,0.5943,1.19261,0.57619,0.01353,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,15720.6,1.22015,0.9331,0.01372,0.87656,0.84637,0.90392,0.59471,1.19003,0.57228,0.01354,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,15993.3,1.22339,0.92017,0.01378,0.89981,0.82552,0.91096,0.60056,1.18554,0.57762,0.01346,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,16266.4,1.21871,0.9124,0.01373,0.85018,0.86211,0.90846,0.60001,1.18564,0.57298,0.01344,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,16539.2,1.20869,0.91022,0.01354,0.89917,0.82944,0.91575,0.5996,1.18227,0.56519,0.01343,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,16812,1.2021,0.90082,0.01347,0.8974,0.8326,0.91429,0.6005,1.17987,0.57244,0.01335,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,17084.9,1.20342,0.89348,0.0135,0.88971,0.85052,0.91333,0.60179,1.17734,0.56534,0.0133,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,17357.8,1.19743,0.8857,0.01341,0.86794,0.85861,0.91569,0.60421,1.17883,0.5635,0.01332,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,17630.4,1.19645,0.88018,0.01347,0.91754,0.82316,0.91673,0.60249,1.18233,0.55739,0.0134,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,17903.5,1.19269,0.86984,0.0134,0.87852,0.84428,0.9116,0.60198,1.17985,0.57087,0.01331,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,18176.3,1.19047,0.8651,0.01332,0.87643,0.85136,0.91501,0.59924,1.18481,0.57132,0.01345,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,18449.1,1.1866,0.85628,0.01321,0.90192,0.83306,0.9126,0.59945,1.18782,0.56735,0.01348,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,18722,1.17858,0.84416,0.01312,0.90389,0.83946,0.91345,0.6014,1.18852,0.56575,0.01343,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,18994.9,1.17694,0.82883,0.01306,0.89789,0.84245,0.91472,0.60033,1.1907,0.5636,0.01344,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,19267.5,1.16906,0.84046,0.01303,0.90461,0.84177,0.91373,0.60054,1.19205,0.5618,0.01344,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,19535.3,1.1634,0.82824,0.01287,0.89786,0.85072,0.9158,0.60222,1.19168,0.55763,0.01341,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
