epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,309.001,1.46169,1.45507,0.01744,0.81098,0.78276,0.85187,0.54034,1.24575,0.68142,0.01452,0.00999100,0.00333000,0.00999100,0.00333000,0.0766880,0.070027,0.00999100,0.00333000
2,584.854,1.42625,1.40087,0.01711,0.75002,0.71386,0.78641,0.47495,1.32722,0.88831,0.01564,0.0198920,0.00663100,0.0198920,0.00663100,0.0532550,0.039994,0.0198920,0.00663100
3,853.594,1.45094,1.45074,0.01724,0.66542,0.65597,0.69238,0.4088,1.4099,1.05704,0.01683,0.0296940,0.00989800,0.0296940,0.00989800,0.0297240,0.00992800,0.0296940,0.00989800
4,1122.37,1.4995,1.53843,0.01811,0.74313,0.74997,0.80924,0.49931,1.30905,0.80458,0.01584,0.0295550,0.0098510,0.0295550,0.0098510,0.0295550,0.0098510,0.0295550,0.0098510
5,1390.54,1.48945,1.51532,0.0178,0.7739,0.72492,0.81278,0.49038,1.33237,0.79088,0.01599,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1658.88,1.48622,1.50613,0.01782,0.81473,0.71636,0.80895,0.49515,1.30291,0.76912,0.01564,0.0292570,0.0097530,0.0292570,0.0097530,0.0292570,0.0097530,0.0292570,0.0097530
7,1926.89,1.47122,1.47371,0.0175,0.78628,0.75601,0.84108,0.51289,1.30549,0.72766,0.01527,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2195.13,1.46501,1.44005,0.01737,0.79698,0.73748,0.80396,0.48287,1.32978,0.79963,0.01549,0.0289610,0.0096540,0.0289610,0.0096540,0.0289610,0.0096540,0.0289610,0.0096540
9,2463.61,1.45666,1.41116,0.01717,0.77556,0.78869,0.83818,0.50598,1.29797,0.72513,0.0153,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2732.2,1.44838,1.37887,0.01707,0.72994,0.71899,0.77249,0.48588,1.29705,0.84164,0.01511,0.0286640,0.0095550,0.0286640,0.0095550,0.0286640,0.0095550,0.0286640,0.0095550
11,3002.03,1.42707,1.37114,0.01667,0.82371,0.78464,0.85431,0.53185,1.29015,0.69612,0.01528,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3270.84,1.43844,1.36803,0.01691,0.79171,0.82748,0.86898,0.53672,1.27852,0.6643,0.015,0.0283660,0.0094560,0.0283660,0.0094560,0.0283660,0.0094560,0.0283660,0.0094560
13,3538.82,1.42355,1.34826,0.01654,0.67237,0.66498,0.71915,0.44268,1.36226,0.95939,0.01648,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
